Team,OVR Rating,OFF Rating,DEF Rating
Cor Jesu Academy,10.51,6.29,4.22
Nerinx Hall,8.49,3.72,4.77
Ft. Zumwalt South,7.80,3.74,4.06
St. Joseph's Academy,7.79,3.81,3.99
St. Dominic,7.79,3.57,4.23
Francis Howell,7.53,3.26,4.27
Timberland,6.64,2.74,3.89
Kirkwood,6.46,3.03,3.43
North Point,6.42,2.94,3.48
Park Hill,6.38,3.07,3.31
Liberty (Wentzville),6.35,2.64,3.71
Francis Howell North,6.33,2.54,3.80
Ft. Zumwalt North,6.26,2.44,3.82
Rockwood Summit,6.14,2.49,3.64
Parkway West,6.12,3.11,3.01
Jackson,6.03,3.33,2.70
Nixa,6.02,3.10,2.92
Lafayette (Wildwood),5.96,2.27,3.70
St. Vincent,5.94,4.08,1.86
Liberty North,5.89,3.00,2.89
Ursuline Academy,5.88,2.31,3.57
Blue Springs South,5.79,2.47,3.32
Eureka,5.77,2.48,3.29
Ft. Zumwalt West,5.70,2.50,3.20
Lee's Summit North,5.69,2.86,2.83
Francis Howell Central,5.65,1.98,3.67
Webster Groves,5.65,2.47,3.18
St. Michael the Archangel,5.61,3.03,2.58
St. Teresa's Academy,5.59,2.89,2.70
St. Pius X (Kansas City),5.32,2.70,2.62
Lindbergh,5.27,2.07,3.19
Park Hill South,5.18,2.20,2.99
Ft. Zumwalt East,5.13,1.64,3.49
Oakville,5.09,2.30,2.78
Springfield Catholic,5.07,2.44,2.63
Ladue Horton Watkins,4.91,2.12,2.79
John Burroughs,4.89,1.94,2.95
Marquette,4.88,2.22,2.66
Westminster Christian Academy,4.86,2.33,2.54
Lee's Summit,4.73,1.87,2.86
MICDS,4.68,2.62,2.06
Helias Catholic,4.59,2.24,2.36
Kearney,4.57,3.81,0.76
Orchard Farm,4.48,1.86,2.62
Parkway South,4.36,2.10,2.26
Staley,4.28,1.53,2.75
Liberty,4.14,1.61,2.53
Pleasant Hill,4.09,2.38,1.71
Troy Buchanan,4.07,1.77,2.30
Ozark,4.01,1.67,2.35
Rock Bridge,3.96,1.92,2.03
Notre Dame de Sion,3.91,1.97,1.93
Kickapoo,3.87,2.09,1.78
Glendale,3.83,2.16,1.67
Lee's Summit West,3.79,1.05,2.75
Clayton,3.75,1.67,2.08
St. Pius X (Festus),3.73,2.11,1.62
Pattonville,3.61,2.02,1.59
Logan-Rogersville,3.57,2.13,1.44
