Team,OVR Rating,OFF Rating,DEF Rating
Cor Jesu Academy,10.51,6.28,4.23
Nerinx Hall,8.49,3.72,4.77
St. Joseph's Academy,7.79,3.81,3.99
St. Dominic,7.79,3.57,4.22
Francis Howell,7.53,3.26,4.27
Timberland,6.64,2.74,3.90
Kirkwood,6.46,3.03,3.42
North Point,6.42,2.94,3.48
Park Hill,6.36,3.08,3.28
Liberty (Wentzville),6.35,2.64,3.71
Francis Howell North,6.34,2.54,3.80
Ft. Zumwalt North,6.26,2.44,3.82
Parkway West,6.12,3.11,3.01
Nixa,6.11,3.29,2.82
Jackson,6.04,3.33,2.71
Lafayette (Wildwood),5.96,2.27,3.70
Liberty North,5.89,3.00,2.89
Ursuline Academy,5.88,2.31,3.57
Blue Springs South,5.79,2.47,3.32
Eureka,5.76,2.48,3.29
Ft. Zumwalt West,5.70,2.50,3.20
Lee's Summit North,5.69,2.86,2.83
Francis Howell Central,5.65,1.97,3.68
St. Teresa's Academy,5.57,2.88,2.69
Lindbergh,5.27,2.07,3.19
Park Hill South,5.19,2.19,3.00
Oakville,5.09,2.30,2.78
Ladue Horton Watkins,4.91,2.12,2.79
Marquette,4.88,2.22,2.66
Lee's Summit,4.73,1.87,2.86
Parkway South,4.36,2.10,2.26
Staley,4.27,1.53,2.74
Liberty,4.14,1.60,2.54
Troy Buchanan,4.08,1.77,2.30
Rock Bridge,3.95,1.91,2.05
Ozark,3.93,1.77,2.15
Kickapoo,3.87,2.09,1.79
Glendale,3.83,2.13,1.69
Lee's Summit West,3.79,1.04,2.75
Pattonville,3.61,2.03,1.59
Seckman,3.24,1.05,2.20
Blue Springs,3.22,0.83,2.39
Smith-Cotton,2.83,1.12,1.70
Northwest (Cedar Hill),2.55,0.93,1.62
North Kansas City,1.82,0.70,1.12
Grain Valley,1.76,0.83,0.93
Republic,1.76,1.08,0.68
Fox,1.39,0.46,0.92
Raymore-Peculiar,1.19,1.06,0.13
Hickman,0.40,-0.11,0.51
Fort Osage,0.27,0.23,0.04
Central (St. Joseph),0.19,0.74,-0.55
Oak Park,-0.46,-0.86,0.40
Truman,-0.63,0.06,-0.69
Waynesville,-0.67,-0.66,-0.01
Hazelwood West,-0.94,0.44,-1.38
Neosho,-1.14,-0.75,-0.39
Farmington,-1.39,-1.20,-0.20
Branson,-2.48,-0.81,-1.67
Carthage,-2.75,-1.53,-1.22
Rolla,-3.97,-1.58,-2.39
Joplin,-5.09,-2.22,-2.87
Ritenour,-5.65,-2.47,-3.18
Battle,-6.93,-2.22,-4.71
