Date,Home Team,Home Score,Away Team,Away Score
2026-03-19,Ft. Zumwalt East,1,Ft. Zumwalt West,2
2026-03-19,North Point,6,Hannibal,1
2026-03-19,Staley,5,Kearney,3
2026-03-19,Helias Catholic,1,Kickapoo,2
2026-03-19,St. Pius X (Kansas City),3,Liberty,0
2026-03-19,Battle,0,Osage,8
2026-03-19,Platte County,0,Park Hill South,6
2026-03-19,Raytown South,0,Smithville,12
2026-03-19,Van Horn,3,Truman,6
2026-03-19,Canton,0,Winfield,3
2026-03-20,Crocker,6,Aurora,0
2026-03-20,Eugene,0,Blair Oaks,3
2026-03-20,Smithton,0,Boonville,3
2026-03-20,Camdenton,0,Capital City,6
2026-03-20,Kirksville,0,Chillicothe,0
2026-03-20,Troy Buchanan,1,Duchesne,0
2026-03-20,Stover with Cole Camp,1,Fair Grove,0
2026-03-20,Ft. Zumwalt South,1,Francis Howell Central,0
2026-03-20,California,3,Fulton,0
2026-03-20,Father Tolton,3,Jefferson City,2
2026-03-20,Odessa,2,Knob Noster,1
2026-03-20,Moberly,0,Lee's Summit,7
2026-03-20,Lee's Summit North,3,Lee's Summit West,1
2026-03-20,Marshall,4,Lone Jack,0
2026-03-20,Winfield,0,Orchard Farm,8
2026-03-20,Fatima,1,Owensville,8
2026-03-20,Raytown,2,Raytown South,1
2026-03-20,Smith-Cotton,2,Republic,1
2026-03-20,Ozark,0,Rock Bridge,3
2026-03-20,St. Francis Borgia,6,Rolla,0
2026-03-20,Springfield Catholic,7,Rolla,0
2026-03-20,Farmington,2,Saxony Lutheran,3
2026-03-20,Christian Fellowship Sr.,1,Southern Boone,8
2026-03-20,Francis Howell North,4,St. Charles,1
2026-03-20,Springfield Catholic,7,St. Francis Borgia,0
2026-03-20,Marshfield,3,St. James,2
2026-03-20,St. Pius X (Festus),6,Sullivan,1
2026-03-20,Washington,6,Union,0
2026-03-20,St. Vincent,3,Union,0
2026-03-20,St. Vincent,3,Washington,1
2026-03-20,Oak Grove,4,William Chrisman,3
2026-03-20,St. Charles West,3,Wright City,0
2026-03-21,California,0,Boonville,1
2026-03-21,Lone Jack,2,Chillicothe,2
2026-03-21,Marshall,8,Chillicothe,0
2026-03-21,Father Tolton,2,Eugene,1
2026-03-21,St. Pius X (Kansas City),6,Grain Valley,0
2026-03-21,Blair Oaks,3,Jefferson City,2
2026-03-21,Lone Jack,0,Kirksville,7
2026-03-21,Marshall,1,Kirksville,2
2026-03-21,Platte County,0,Liberty,8
2026-03-21,Moberly,2,Oak Grove,0
